Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
03-Mar-23,,brown,,,ALCARRÀS,https://likeaword.github.io/borderlines2023/img/FILM2023-3.jpg,"03 Mar, Starts:11:00. Ends: 13:00 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
03-Mar-23,,brown,,,RETURN TO DUST,https://likeaword.github.io/borderlines2023/img/FILM2023-55.jpg,"03 Mar, Starts:14:00. Ends: 16:14 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
03-Mar-23,,purple,,,CORSAGE,https://likeaword.github.io/borderlines2023/img/FILM2023-22.jpg,"03 Mar, Starts:16:30. Ends: 18:23 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
03-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT?,https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"03 Mar, Starts:17:00. Ends: 18:48 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
03-Mar-23,,yellow,,,THE BLUE CAFTAN,https://likeaword.github.io/borderlines2023/img/FILM2023-11.jpg,"03 Mar, Starts:17:15. Ends: 19:13 approx. Theme: LGBTQ+",The Courtyard Hereford,52.0610499,-2.7209511
03-Mar-23,,purple,,,THE LOST KING,https://likeaword.github.io/borderlines2023/img/FILM2023-41.jpg,"03 Mar, Starts:19:30. Ends: 21:18 approx. Theme: other","Bromyard, Conquest Theatre",52.1907507,-2.5108662
03-Mar-23,,green,,,AFTERSUN + GREGORY OKE,https://likeaword.github.io/borderlines2023/img/FILM2023-2.jpg,"03 Mar, Starts:19:30. Ends: 21:33 approx. Theme: Ties That Bind",Garway Hall*,51.9005843,-2.7882813
03-Mar-23,,green,,,AFTERSUN,https://likeaword.github.io/borderlines2023/img/FILM2023-2.jpg,"03 Mar, Starts:19:30. Ends: 21:13 approx. Theme: Ties That Bind",Knighton Community Centre*,52.3431621,-3.0470515
03-Mar-23,,green,,,THE WHALE,https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"03 Mar, Starts:19:30. Ends: 21:27 approx. Theme: Ties That Bind",Ludlow Assembly Rooms,52.3671434,-2.7229135
03-Mar-23,,green,,,THE SON,https://likeaword.github.io/borderlines2023/img/FILM2023-58.jpg,"03 Mar, Starts:19:45. Ends: 21:48 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
03-Mar-23,,red,,,ALL THE BEAUTY AND THE BLOODSHED,https://likeaword.github.io/borderlines2023/img/FILM2023-4.jpg,"03 Mar, Starts:20:00. Ends: 21:56 approx. Theme: Talking Back",The Courtyard Hereford,52.0610499,-2.7209511
03-Mar-23,,yellow,,,BLUE JEAN,https://likeaword.github.io/borderlines2023/img/FILM2023-12.jpg,"03 Mar, Starts:20:00. Ends: 21:37 approx. Theme: LGBTQ+",Malvern Theatres,52.1103897,-2.3291562
03-Mar-23,,purple,,,TRIANGLE OF SADNESS,https://likeaword.github.io/borderlines2023/img/FILM2023-60.jpg,"03 Mar, Starts:20:00. Ends: 22:30 approx. Theme: other",Presteigne Screen,52.2734231,-3.0084255
04-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT? (relaxed screening),https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"04 Mar, Starts:11:00. Ends: 12:48 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
04-Mar-23,,purple,,,FULL TIME,https://likeaword.github.io/borderlines2023/img/FILM2023-32.jpg,"04 Mar, Starts:13:30. Ends: 14:58 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
04-Mar-23,,purple,,,BUCK AND THE PREACHER,https://likeaword.github.io/borderlines2023/img/FILM2023-15.jpg,"04 Mar, Starts:14:00. Ends: 15:42 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
04-Mar-23,,green,,,THE SON,https://likeaword.github.io/borderlines2023/img/FILM2023-58.jpg,"04 Mar, Starts:14:00. Ends: 16:03 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
04-Mar-23,,purple,,,"MY SAILOR, MY LOVE",https://likeaword.github.io/borderlines2023/img/FILM2023-47.jpg,"04 Mar, Starts:16:30. Ends: 18:13 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
04-Mar-23,,red,,,ALL THE BEAUTY AND THE BLOODSHED,https://likeaword.github.io/borderlines2023/img/FILM2023-4.jpg,"04 Mar, Starts:17:30. Ends: 19:26 approx. Theme: Talking Back",The Courtyard Hereford,52.0610499,-2.7209511
04-Mar-23,,brown,,,GODLAND,https://likeaword.github.io/borderlines2023/img/FILM2023-33.jpg,"04 Mar, Starts:18:00. Ends: 20:23 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
04-Mar-23,,purple,,,DECISION TO LEAVE,https://likeaword.github.io/borderlines2023/img/FILM2023-25.jpg,"04 Mar, Starts:19:00. Ends: 21:19 approx. Theme: other","Tarrington, Lady Emily Hall*",52.0624835,-2.5658662
04-Mar-23,,purple,,,LUNANA: A YAK IN THE CLASSROOM,https://likeaword.github.io/borderlines2023/img/FILM2023-42.jpg,"04 Mar, Starts:19:30. Ends: 20:59 approx. Theme: other",Ludlow Assembly Rooms,52.3671434,-2.7229135
04-Mar-23,,purple,,,LIVING,https://likeaword.github.io/borderlines2023/img/FILM2023-40.jpg,"04 Mar, Starts:19:30. Ends: 20:52 approx. Theme: other","Ross, St Mary's Church Hall*",51.9135119,-2.5880407
04-Mar-23,,purple,,,CORSAGE,https://likeaword.github.io/borderlines2023/img/FILM2023-22.jpg,"04 Mar, Starts:19:45. Ends: 21:38 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
04-Mar-23,,brown,,,ALCARRÀS,https://likeaword.github.io/borderlines2023/img/FILM2023-3.jpg,"04 Mar, Starts:20:00. Ends: 22:00 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
04-Mar-23,,yellow,,,BLUE JEAN,https://likeaword.github.io/borderlines2023/img/FILM2023-12.jpg,"04 Mar, Starts:20:00. Ends: 21:37 approx. Theme: LGBTQ+",Malvern Theatres,52.1103897,-2.3291562
05-Mar-23,,brown,,,ALCARRÀS,https://likeaword.github.io/borderlines2023/img/FILM2023-3.jpg,"05 Mar, Starts:10:45. Ends: 12:45 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,orange,,,MY IMAGINARY COUNTRY,https://likeaword.github.io/borderlines2023/img/FILM2023-46.jpg,"05 Mar, Starts:11:00. Ends: 12:23 approx. Theme: South America",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,purple,,,"MY SAILOR, MY LOVE",https://likeaword.github.io/borderlines2023/img/FILM2023-47.jpg,"05 Mar, Starts:13:30. Ends: 15:13 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
05-Mar-23,,purple,,,OPEN SCREEN,https://likeaword.github.io/borderlines2023/img/FILM2023-51.jpg,"05 Mar, Starts:14:00. Ends: 15:55 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT?,https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"05 Mar, Starts:14:00. Ends: 15:48 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
05-Mar-23,,purple,,,CORSAGE,https://likeaword.github.io/borderlines2023/img/FILM2023-22.jpg,"05 Mar, Starts:14:30. Ends: 16:23 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,purple,,,OPEN SCREEN SIDEBAR,https://likeaword.github.io/borderlines2023/img/FILM2023-51.jpg,"05 Mar, Starts:16:00. Ends: 17:30 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,purple,,,CORSAGE,https://likeaword.github.io/borderlines2023/img/FILM2023-22.jpg,"05 Mar, Starts:16:30. Ends: 18:23 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
05-Mar-23,,purple,,,WOMEN TALKING,https://likeaword.github.io/borderlines2023/img/FILM2023-65.jpg,"05 Mar, Starts:17:00. Ends: 18:44 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,purple,,,THE BLACK VAMPIRE,https://likeaword.github.io/borderlines2023/img/FILM2023-10.jpg,"05 Mar, Starts:17:00. Ends: 18:30 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
05-Mar-23,,blue,,,LEAVING TO REMAIN + HURJASA + JAKE BOWERS,https://likeaword.github.io/borderlines2023/img/FILM2023-38.jpg,"05 Mar, Starts:17:30. Ends: 19:27 approx. Theme: Romani Cinema",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,purple,,,EMILY,https://likeaword.github.io/borderlines2023/img/FILM2023-28.jpg,"05 Mar, Starts:19:30. Ends: 21:40 approx. Theme: other","Bromyard, Conquest Theatre",52.1907507,-2.5108662
05-Mar-23,,green,,,THE WHALE,https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"05 Mar, Starts:19:30. Ends: 21:27 approx. Theme: Ties That Bind",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,green,,,THE SON,https://likeaword.github.io/borderlines2023/img/FILM2023-58.jpg,"05 Mar, Starts:19:45. Ends: 21:48 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
05-Mar-23,,blue,,,HOW FAR THE STARS + PROUD ROMA + JAKE BOWERS,https://likeaword.github.io/borderlines2023/img/FILM2023-35.jpg,"05 Mar, Starts:20:00. Ends: 21:38 approx. Theme: Romani Cinema",The Courtyard Hereford,52.0610499,-2.7209511
05-Mar-23,,purple,,,FULL TIME,https://likeaword.github.io/borderlines2023/img/FILM2023-32.jpg,"05 Mar, Starts:20:00. Ends: 21:28 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
06-Mar-23,,brown,,,RETURN TO DUST,https://likeaword.github.io/borderlines2023/img/FILM2023-55.jpg,"06 Mar, Starts:11:00. Ends: 13:14 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,purple,,,"MY SAILOR, MY LOVE",https://likeaword.github.io/borderlines2023/img/FILM2023-47.jpg,"06 Mar, Starts:11:30. Ends: 13:13 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
